endpoint,category,representation,split,model,method_a,method_b,kendall_mean,kendall_std,spearman_mean,spearman_std,jaccard_mean,jaccard_std,top_k,is_tox
DILI,toxicity,descriptors,scaffold,rf,shap,lime,0.1608285437142801,0.0504670773636613,0.236280520088907,0.072120851746803,0.2461928923616229,0.1009894045867473,10,True
DILI,toxicity,descriptors,scaffold,hgb,shap,lime,0.1080227322189875,0.0459680976895026,0.1532575915485169,0.063951771048813,0.1761650859174079,0.0825872530603468,10,True
DILI,toxicity,descriptors,scaffold,mlp,ig,lime,0.1420161932165038,0.0483107725814752,0.2120301298162245,0.0722362492729899,0.0708390666208003,0.0596572173267173,10,True
DILI,toxicity,descriptors,random,rf,shap,lime,0.1461035513806162,0.0509351085712623,0.2145685386707828,0.0730753711023438,0.2896280734516028,0.1143933546002234,10,True
DILI,toxicity,descriptors,random,hgb,shap,lime,0.1013750887769339,0.0488515466897709,0.1426238270266663,0.0677192958234608,0.1706928677903909,0.0731438068661507,10,True
DILI,toxicity,descriptors,random,mlp,ig,lime,0.1365247045843233,0.0511806505102978,0.2026011811733689,0.0751360323983094,0.081869911707373,0.055098716228736,10,True
hERG,toxicity,descriptors,scaffold,rf,shap,lime,0.1195445687088947,0.0432501462919217,0.1775145605832296,0.0617319059619598,0.1408525398463478,0.0811903075652732,10,True
hERG,toxicity,descriptors,scaffold,hgb,shap,lime,0.0834430726321722,0.0518242815597421,0.1193497303888555,0.0738899058969618,0.0992002063983488,0.0609053205346912,10,True
hERG,toxicity,descriptors,scaffold,mlp,ig,lime,0.1004040400416826,0.0481167378610887,0.1497465090666072,0.0711588967506218,0.0638845889232886,0.056434346586264,10,True
hERG,toxicity,descriptors,random,rf,shap,lime,0.1382934689865805,0.0393497281946119,0.2052271572293177,0.0568464408792156,0.1520293790030631,0.0920026159396639,10,True
hERG,toxicity,descriptors,random,hgb,shap,lime,0.0948813042683016,0.0463180263849536,0.13514993943022,0.065132650385582,0.0972723884875587,0.0618443535537053,10,True
hERG,toxicity,descriptors,random,mlp,ig,lime,0.0741141549945576,0.0467147145075309,0.1106341749885522,0.0685018166594472,0.077734778121775,0.071152126782786,10,True
AMES,toxicity,descriptors,scaffold,rf,shap,lime,0.0928556207390523,0.0559294105576468,0.1372975393729466,0.0812582895223848,0.1564671482628138,0.0759244885858548,10,True
AMES,toxicity,descriptors,scaffold,hgb,shap,lime,0.0715692782304542,0.0473200385653698,0.1054220084229586,0.0683922879437008,0.1168888315560142,0.0545761881072994,10,True
AMES,toxicity,descriptors,scaffold,mlp,ig,lime,0.0525186149337596,0.0492286874096919,0.0780473323153385,0.0736552943159251,0.0543329320032106,0.054267176559321,10,True
AMES,toxicity,descriptors,random,rf,shap,lime,0.1199706968262325,0.0768415519655652,0.1773620488351425,0.1067163386102248,0.1432820204105033,0.0830129421260377,10,True
AMES,toxicity,descriptors,random,hgb,shap,lime,0.0829701011865844,0.0433993902470878,0.1221461244703224,0.0624707350787264,0.1077112716431601,0.0738438981570302,10,True
AMES,toxicity,descriptors,random,mlp,ig,lime,0.0580017494958233,0.0516196051099733,0.0857022342623068,0.0768493887802846,0.0708777663112028,0.0604105923489744,10,True
LD50,toxicity,descriptors,scaffold,rf,shap,lime,0.0507091756100492,0.0732172229290012,0.0748846842987431,0.1048092422671619,0.1468243730240634,0.0776250894970552,10,True
LD50,toxicity,descriptors,scaffold,hgb,shap,lime,0.0616933270583414,0.0847550134017173,0.089596731666333,0.1205302960961195,0.0721476894851507,0.0536126035340398,10,True
LD50,toxicity,descriptors,scaffold,mlp,ig,lime,0.1051195615949088,0.0841192883294379,0.1549068874684135,0.1195918235899204,0.0736601748211655,0.0888571991530675,10,True
LD50,toxicity,descriptors,random,rf,shap,lime,0.0458285327871279,0.0594114813740982,0.0678779232785332,0.0869079420127939,0.1042368994381378,0.050356289571468,10,True
LD50,toxicity,descriptors,random,hgb,shap,lime,0.0544481914856418,0.0518955247750079,0.0792885708772382,0.0758468414424487,0.0890608875128998,0.0484480648638307,10,True
LD50,toxicity,descriptors,random,mlp,ig,lime,0.0741731751907132,0.0598018286678401,0.1118248893680002,0.0872137421397527,0.0704320032106409,0.0558796712804377,10,True
Caco2,absorption,descriptors,scaffold,rf,shap,lime,0.0555299883869989,0.0504464101963706,0.0820050187692549,0.0729484155683143,0.2498306632594558,0.0785028799971855,10,False
Caco2,absorption,descriptors,scaffold,hgb,shap,lime,0.0648113836735391,0.0493642048590153,0.0922351523085754,0.0692317241815894,0.1856458957852146,0.0739236366323877,10,False
Caco2,absorption,descriptors,scaffold,mlp,ig,lime,0.0971203642338475,0.0545324052263884,0.1435476784829343,0.0803904006281133,0.086787639032221,0.0648313599317711,10,False
Caco2,absorption,descriptors,random,rf,shap,lime,0.0620710560597399,0.0509890289563736,0.0922462622200714,0.0742458849163087,0.2736024324259618,0.081689366489476,10,False
Caco2,absorption,descriptors,random,hgb,shap,lime,0.0684173617088211,0.0485585127843833,0.0982012079907866,0.0687117542303571,0.1875659328058708,0.0703628735102435,10,False
Caco2,absorption,descriptors,random,mlp,ig,lime,0.077136746203293,0.0576459832804537,0.1151233792368665,0.0854294801495861,0.0389060887512899,0.0432769729692119,10,False
HIA,absorption,descriptors,scaffold,rf,shap,lime,0.0804219573523385,0.0400876719182704,0.1184715630896755,0.0577159031787959,0.1559669189313152,0.0800570043476037,10,False
HIA,absorption,descriptors,scaffold,hgb,shap,lime,0.0472030763305304,0.0455360802239315,0.0673068318889822,0.0634396002671602,0.0779153766769866,0.0537882901469485,10,False
HIA,absorption,descriptors,scaffold,mlp,ig,lime,0.0722823094857887,0.0495523220471052,0.1069691045470484,0.0728393511628504,0.0722250888659557,0.055272216046951,10,False
HIA,absorption,descriptors,random,rf,shap,lime,0.0781365499087588,0.0458946717780137,0.1159275663066983,0.0661736142163376,0.1693389929071043,0.0806270337707141,10,False
HIA,absorption,descriptors,random,hgb,shap,lime,0.0339181123747774,0.0493920158375593,0.0483228911854081,0.0702564275169939,0.0793916981997477,0.059553523162289,10,False
HIA,absorption,descriptors,random,mlp,ig,lime,0.1016157482871431,0.0489137286778835,0.1503018598116853,0.0720844487084459,0.0652147116156404,0.0507074957205116,10,False
BBB,distribution,descriptors,scaffold,rf,shap,lime,0.1139807322782032,0.0443870750648989,0.1693154335827216,0.0639764954853425,0.2344448980671891,0.0964967203441099,10,False
BBB,distribution,descriptors,scaffold,hgb,shap,lime,0.0472504978683681,0.0435603776124182,0.0690297191353636,0.0633342002166812,0.0587432633872262,0.0511277346584438,10,False
BBB,distribution,descriptors,scaffold,mlp,ig,lime,0.0909305664393907,0.10059282184452,0.1328849085961898,0.136763494334327,0.0761925237931429,0.0651169560254735,10,False
BBB,distribution,descriptors,random,rf,shap,lime,0.1139129660888545,0.0569610124360663,0.1681293879077807,0.0802823935240507,0.2462945007062654,0.1082792629692522,10,False
BBB,distribution,descriptors,random,hgb,shap,lime,0.05120028821867,0.0489861704005081,0.0747885981717332,0.0705203147853766,0.1091226054074351,0.0959726228794646,10,False
BBB,distribution,descriptors,random,mlp,ig,lime,0.0831024933917224,0.0461240636489198,0.1242337265776631,0.0687301363356343,0.0613576424721935,0.048972530705371,10,False
VDss,distribution,descriptors,scaffold,rf,shap,lime,0.0300580874827763,0.0760101780500113,0.0438786335584015,0.1109219756470942,0.0889089553950235,0.0475266470227965,10,False
VDss,distribution,descriptors,scaffold,hgb,shap,lime,0.0478917662321608,0.0519962602261644,0.0707115244569004,0.0761791273047349,0.1147976149524137,0.064394003622855,10,False
VDss,distribution,descriptors,scaffold,mlp,ig,lime,0.1233242018727216,0.0899354167501649,0.1834417318998349,0.1302281649017149,0.0734921453961701,0.0678588439355621,10,False
VDss,distribution,descriptors,random,rf,shap,lime,0.0220297896564211,0.0606675672610504,0.0319313349989227,0.0887532141709867,0.0763501891984863,0.0345217092408412,10,False
VDss,distribution,descriptors,random,hgb,shap,lime,0.0509878519980392,0.0425132452719649,0.0737114717328894,0.0605914098737559,0.1314628482972136,0.0728676148067272,10,False
VDss,distribution,descriptors,random,mlp,ig,lime,0.100360151490325,0.0790048790064869,0.1490972169319663,0.1176416892307093,0.0505733287467033,0.0528357635016007,10,False
CYP2C9-Sub,metabolism,descriptors,scaffold,rf,shap,lime,0.1064699491680161,0.0608238564533929,0.1582081805565421,0.0870687539475334,0.1495184038527691,0.0722029676066701,10,False
CYP2C9-Sub,metabolism,descriptors,scaffold,hgb,shap,lime,0.0315282668812219,0.0493998682913064,0.0454960191199879,0.0705349648586932,0.0560142185529182,0.051723246185932,10,False
CYP2C9-Sub,metabolism,descriptors,scaffold,mlp,ig,lime,0.0788133804299288,0.0684687084453852,0.1156905508010798,0.0961148056813051,0.0496273363146428,0.0542138595772304,10,False
CYP2C9-Sub,metabolism,descriptors,random,rf,shap,lime,0.0878379590296305,0.0460102386668953,0.1302913006240854,0.0680340894572002,0.0684611856438481,0.0549672186727094,10,False
CYP2C9-Sub,metabolism,descriptors,random,hgb,shap,lime,0.0343801540367493,0.0537130760211209,0.0484669755193037,0.0757119554823824,0.0501662653365439,0.0483598294796707,10,False
CYP2C9-Sub,metabolism,descriptors,random,mlp,ig,lime,0.0647197753473286,0.0455555849108403,0.0965257919096526,0.0681505866714893,0.053630604288499,0.0572703271326119,10,False
CYP3A4-Sub,metabolism,descriptors,scaffold,rf,shap,lime,0.0941809536992535,0.0461827599714068,0.1401495446594916,0.0675194321430505,0.1155816420135305,0.0717545306157045,10,False
CYP3A4-Sub,metabolism,descriptors,scaffold,hgb,shap,lime,0.0590221363825809,0.0524522476010331,0.0849486598518349,0.0746918404731627,0.0761996904024767,0.0562245288565885,10,False
CYP3A4-Sub,metabolism,descriptors,scaffold,mlp,ig,lime,0.0972798989221394,0.0764853151540731,0.1436353416168633,0.1062106446802709,0.0486805248415155,0.0649347001023052,10,False
CYP3A4-Sub,metabolism,descriptors,random,rf,shap,lime,0.0807530135600668,0.0537690024600575,0.1197379997583776,0.0787161693441613,0.0952184382524939,0.0697524700848313,10,False
CYP3A4-Sub,metabolism,descriptors,random,hgb,shap,lime,0.0750609244796914,0.0533970050340669,0.107216640596519,0.0747244461692868,0.1327428047242288,0.0674020843958288,10,False
CYP3A4-Sub,metabolism,descriptors,random,mlp,ig,lime,0.1102181727854523,0.0490838156136304,0.1639920794551238,0.0716004337143042,0.0680197225088865,0.0611699225638869,10,False
HalfLife,excretion,descriptors,scaffold,rf,shap,lime,0.038272285830299,0.0406761718403102,0.0572899947026873,0.0595608552845238,0.1453130374957,0.0729077197740415,10,False
HalfLife,excretion,descriptors,scaffold,hgb,shap,lime,0.0708779859536457,0.0496727600833446,0.1020769108705594,0.0693218720187982,0.106110251117991,0.0771526725684268,10,False
HalfLife,excretion,descriptors,scaffold,mlp,ig,lime,0.2036760674665355,0.0538515726115659,0.3003094097867625,0.0793167530375872,0.0921316772322964,0.0856269499071824,10,False
HalfLife,excretion,descriptors,random,rf,shap,lime,0.0419912534389946,0.0793315227178613,0.0612148143199769,0.1095452372845605,0.1221562894163513,0.0745736483402495,10,False
