endpoint,category,task,representation,split,model,method,n_explained,faith_mean,faith_lo,faith_hi,null_faith_mean,faith_vs_null,beats_null_p,beats_null,stab_mean,stab_lo,stab_hi,stab_worst,sanity_sim,sanity_passed,primary_perf,perf_metric
DILI,toxicity,classification,descriptors,scaffold,rf,shap,60,0.1769794820096543,0.1542658847694308,0.2039113982737908,0.0209624493964005,0.1560170326132537,0.0,True,0.4532326381403104,0.2713660414601438,0.7536379383865972,1.9887045940331267,0.6340399105470048,False,0.920104211897525,AUROC
DILI,toxicity,classification,descriptors,scaffold,rf,lime,60,0.1059853935321664,0.0860653749286799,0.1257929377677543,0.0209624493964005,0.0850229441357658,0.0,True,0.2383583660121017,0.063844820033707,0.5631535225263627,2.0022887650678936,0.0608765664366433,True,0.920104211897525,AUROC
DILI,toxicity,classification,descriptors,scaffold,rf,random,60,0.0209624493964005,0.0139557777665743,0.0289374950565231,0.0209624493964005,6.938893903907228e-18,,False,1.493516226063704,1.4676354934759084,1.5252453582793266,1.583464838414076,1.0,False,0.920104211897525,AUROC
DILI,toxicity,classification,descriptors,scaffold,hgb,shap,60,0.420414212148494,0.2980118340818663,0.5286210919929071,0.0253540425991241,0.3950601695493698,0.0,True,0.4034076240056697,0.3101255342650488,0.5484311755933162,1.0517177084945477,0.733571672015922,False,0.8992618323925315,AUROC
DILI,toxicity,classification,descriptors,scaffold,hgb,lime,60,0.1740980091803134,0.101644224367694,0.2571540048856391,0.0253540425991241,0.1487439665811892,0.0,True,0.5161886324821049,0.0182872766482198,1.0123606472808588,2.010180675281543,0.050846048030866,True,0.8992618323925315,AUROC
DILI,toxicity,classification,descriptors,scaffold,hgb,random,60,0.0253540425991241,-0.0025180413883901,0.0507432121569895,0.0253540425991241,0.0,,False,1.4681829569504672,1.4379698097561535,1.4940924569749667,1.5375240514138957,1.0,False,0.8992618323925315,AUROC
DILI,toxicity,classification,descriptors,scaffold,mlp,ig,60,0.3018547642562124,0.2297473699226975,0.3758103738476831,0.016114220685429,0.2857405435707834,0.0,True,0.2511233374329333,0.0643862307278237,0.5945015689215094,2.1492674647909538,0.551446677158203,False,0.8202344767694312,AUROC
DILI,toxicity,classification,descriptors,scaffold,mlp,lime,60,0.1589497129122416,0.0950688156319989,0.2405302442527479,0.016114220685429,0.1428354922268125,0.0,True,0.1769094197585075,0.0092680698752582,0.5105949406913339,2.0056580700865214,0.0499710317851779,True,0.8202344767694312,AUROC
DILI,toxicity,classification,descriptors,scaffold,mlp,random,60,0.016114220685429,-0.0078479955552352,0.0405774760949942,0.016114220685429,0.0,,False,1.4781307768527772,1.45199979046151,1.5039154675293218,1.5882082955592134,1.0,False,0.8202344767694312,AUROC
DILI,toxicity,classification,descriptors,random,rf,shap,60,0.2146093434863379,0.1869771847314675,0.2406553538855636,0.0268200145458018,0.187789328940536,0.0,True,0.2798282427477691,0.2017632346779445,0.376485868962653,0.6665565541810872,0.6684535157443736,False,0.9090505767524402,AUROC
DILI,toxicity,classification,descriptors,random,rf,lime,60,0.1467790959575438,0.1270265413660084,0.1678287217193246,0.0268200145458018,0.119959081411742,0.0,True,0.9999999999823844,0.9999999999755718,0.999999999986359,0.9999999999892116,0.0676421125814437,True,0.9090505767524402,AUROC
DILI,toxicity,classification,descriptors,random,rf,random,60,0.0268200145458018,0.0193213748744439,0.0335994283509688,0.0268200145458018,0.0,,False,1.504783846625428,1.4754202211221503,1.5326349627285438,1.636398477246985,1.0,False,0.9090505767524402,AUROC
DILI,toxicity,classification,descriptors,random,hgb,shap,60,0.4131947718369306,0.3021287265630638,0.5253783810557574,0.0182133322276269,0.3949814396093037,0.0,True,0.3828824181074046,0.2837058649317175,0.4879587483926148,0.782105512390678,0.8031006493043015,False,0.8850931677018634,AUROC
DILI,toxicity,classification,descriptors,random,hgb,lime,60,0.1815410596696273,0.104691417849956,0.2618036857434468,0.0182133322276269,0.1633277274420004,0.0,True,0.9999999999976248,0.9999999999969028,0.9999999999980136,0.9999999999981148,0.0509137905926896,True,0.8850931677018634,AUROC
DILI,toxicity,classification,descriptors,random,hgb,random,60,0.0182133322276269,-0.0017540356771291,0.0431609998686672,0.0182133322276269,0.0,,False,1.4988776088792657,1.472686020664267,1.5221228734424677,1.598376930856021,1.0,False,0.8850931677018634,AUROC
DILI,toxicity,classification,descriptors,random,mlp,ig,60,0.3039901150597466,0.2308401186433103,0.3834712627447314,0.0167746358447604,0.2872154792149861,0.0,True,0.2598780143157871,0.0747514713593757,0.6060343684182337,2.109416926219055,0.5624158680161239,False,0.8212067435669921,AUROC
DILI,toxicity,classification,descriptors,random,mlp,lime,60,0.1067189872264862,0.0526793011070953,0.1718559398543503,0.0167746358447604,0.0899443513817257,0.0,True,0.999999999997479,0.9999999999966204,0.999999999997943,0.999999999998038,0.0512220476300085,True,0.8212067435669921,AUROC
DILI,toxicity,classification,descriptors,random,mlp,random,60,0.0167746358447604,-0.0091427866866191,0.0435951633213294,0.0167746358447604,0.0,,False,1.4803292459852762,1.4433121301567635,1.5139460804901277,1.613465978504499,1.0,False,0.8212067435669921,AUROC
hERG,toxicity,classification,descriptors,scaffold,rf,shap,60,0.0441650448134522,-0.0246517835565183,0.1207161257494089,0.0052536580026159,0.0389113868108362,0.16,False,0.6830172383788216,0.337040520311091,1.0706804535203231,2.0994674998131835,0.6444882170070261,False,0.8513409961685823,AUROC
hERG,toxicity,classification,descriptors,scaffold,rf,lime,60,0.0396650631585354,0.0095961494281383,0.0719816634277103,0.0052536580026159,0.0344114051559194,0.01,True,0.9166666666539202,0.7499999999884865,0.9999999999868436,0.9999999999882472,0.0683180114964666,True,0.8513409961685823,AUROC
hERG,toxicity,classification,descriptors,scaffold,rf,random,60,0.0052536580026159,-0.0027375306059577,0.0146461689829668,0.0052536580026159,3.9898639947466563e-17,,False,1.4691713549033478,1.4398935616804591,1.4964177899523496,1.5393120196658845,1.0,False,0.8513409961685823,AUROC
hERG,toxicity,classification,descriptors,scaffold,hgb,shap,60,0.3090096977620221,0.2104876963263666,0.4080723371678268,0.0188180615178448,0.2901916362441772,0.0,True,0.5530743683400643,0.4424560183670739,0.6640247231605589,0.9201741590620997,0.7090404112496138,False,0.8301404853128992,AUROC
hERG,toxicity,classification,descriptors,scaffold,hgb,lime,60,0.1194744499007472,0.0615668718233267,0.1793170590772062,0.0188180615178448,0.1006563883829024,0.0,True,0.9999999999979968,0.9999999999979404,0.9999999999980644,0.9999999999983028,0.0525526869193634,True,0.8301404853128992,AUROC
hERG,toxicity,classification,descriptors,scaffold,hgb,random,60,0.0188180615178448,-0.0004658682845992,0.0402258666271979,0.0188180615178448,0.0,,False,1.4782767816712876,1.44865870546678,1.5044581065489546,1.5562937967453625,1.0,False,0.8301404853128992,AUROC
hERG,toxicity,classification,descriptors,scaffold,mlp,ig,60,0.1307817445860968,0.0794128716819816,0.1956017469614744,0.0140996841920746,0.1166820603940221,0.0,True,0.2640950304395716,0.09361417086909,0.5952589521735333,2.0581341465723755,0.6091913184461077,False,0.8710089399744573,AUROC
hERG,toxicity,classification,descriptors,scaffold,mlp,lime,60,0.0982942601044972,0.0413447808722655,0.151949955013891,0.0140996841920746,0.0841945759124226,0.0,True,0.9999999999979554,0.9999999999979216,0.9999999999979904,0.9999999999980368,0.0579277587527069,True,0.8710089399744573,AUROC
hERG,toxicity,classification,descriptors,scaffold,mlp,random,60,0.0140996841920746,-0.0061679287834299,0.0328677427685923,0.0140996841920746,0.0,,False,1.4894397248491078,1.4621053709329743,1.5185282093176389,1.6106577424658155,1.0,False,0.8710089399744573,AUROC
hERG,toxicity,classification,descriptors,random,rf,shap,60,0.0953383571420555,0.0361788012709568,0.16346546295056,0.0141817455946006,0.0811566115474548,0.0025,True,0.3926909691747196,0.2902714836985446,0.5000232276185653,0.7903854844386086,0.6455178272420116,False,0.848062015503876,AUROC
