endpoint,category,task,representation,split,model,n_train,n_test,auroc,auprc,mae,r2,spearman,primary_metric,primary_value,cleared_floor
DILI,toxicity,classification,descriptors,scaffold,rf,379,96,0.920104211897525,0.9213562547338384,,,,AUROC,0.920104211897525,True
DILI,toxicity,classification,descriptors,scaffold,hgb,379,96,0.8992618323925315,0.9044929879098464,,,,AUROC,0.8992618323925315,True
DILI,toxicity,classification,descriptors,scaffold,mlp,379,96,0.8202344767694312,0.8249160671084469,,,,AUROC,0.8202344767694312,True
DILI,toxicity,classification,descriptors,random,rf,380,95,0.9090505767524402,0.9269594961350142,,,,AUROC,0.9090505767524402,True
DILI,toxicity,classification,descriptors,random,hgb,380,95,0.8850931677018634,0.8884349292836621,,,,AUROC,0.8850931677018634,True
DILI,toxicity,classification,descriptors,random,mlp,380,95,0.8212067435669921,0.7327594156726005,,,,AUROC,0.8212067435669921,True
DILI,toxicity,classification,ecfp,scaffold,rf,379,96,0.8766825879287885,0.8946264029808947,,,,AUROC,0.8766825879287885,True
DILI,toxicity,classification,ecfp,scaffold,hgb,379,96,0.8115501519756838,0.8366554785165906,,,,AUROC,0.8115501519756838,True
DILI,toxicity,classification,ecfp,scaffold,mlp,379,96,0.836734693877551,0.8637920232930114,,,,AUROC,0.836734693877551,True
DILI,toxicity,classification,ecfp,random,rf,380,95,0.8389529724933452,0.8547058311061398,,,,AUROC,0.8389529724933452,True
DILI,toxicity,classification,ecfp,random,hgb,380,95,0.7551020408163265,0.7824502503134433,,,,AUROC,0.7551020408163265,True
DILI,toxicity,classification,ecfp,random,mlp,380,95,0.8127772848269744,0.8248818495290686,,,,AUROC,0.8127772848269744,True
hERG,toxicity,classification,descriptors,scaffold,rf,523,132,0.8513409961685823,0.8872132116014764,,,,AUROC,0.8513409961685823,True
hERG,toxicity,classification,descriptors,scaffold,hgb,523,132,0.8301404853128992,0.8956658879689487,,,,AUROC,0.8301404853128992,True
hERG,toxicity,classification,descriptors,scaffold,mlp,523,132,0.8710089399744573,0.9000387980140716,,,,AUROC,0.8710089399744573,True
hERG,toxicity,classification,descriptors,random,rf,524,131,0.848062015503876,0.8939999450747713,,,,AUROC,0.848062015503876,True
hERG,toxicity,classification,descriptors,random,hgb,524,131,0.8266149870801034,0.8762122437778016,,,,AUROC,0.8266149870801034,True
hERG,toxicity,classification,descriptors,random,mlp,524,131,0.8498708010335917,0.9021551173025638,,,,AUROC,0.8498708010335917,True
hERG,toxicity,classification,ecfp,scaffold,rf,523,132,0.8421455938697319,0.9124334677909667,,,,AUROC,0.8421455938697319,True
hERG,toxicity,classification,ecfp,scaffold,hgb,523,132,0.7828863346104725,0.8776574713925019,,,,AUROC,0.7828863346104725,True
hERG,toxicity,classification,ecfp,scaffold,mlp,523,132,0.761558109833972,0.8363864512910103,,,,AUROC,0.761558109833972,True
hERG,toxicity,classification,ecfp,random,rf,524,131,0.8589147286821704,0.9208873868862422,,,,AUROC,0.8589147286821704,True
hERG,toxicity,classification,ecfp,random,hgb,524,131,0.8555555555555555,0.910592917726087,,,,AUROC,0.8555555555555555,True
hERG,toxicity,classification,ecfp,random,mlp,524,131,0.8031007751937984,0.8831184909225622,,,,AUROC,0.8031007751937984,True
AMES,toxicity,classification,descriptors,scaffold,rf,5818,1456,0.8596064411114988,0.8723593316170496,,,,AUROC,0.8596064411114988,True
AMES,toxicity,classification,descriptors,scaffold,hgb,5818,1456,0.8607535945432702,0.8843866479548793,,,,AUROC,0.8607535945432702,True
AMES,toxicity,classification,descriptors,scaffold,mlp,5818,1456,0.8372456691082433,0.8686503770842257,,,,AUROC,0.8372456691082433,True
AMES,toxicity,classification,descriptors,random,rf,5822,1456,0.9076960863324813,0.9146280331105622,,,,AUROC,0.9076960863324813,True
AMES,toxicity,classification,descriptors,random,hgb,5822,1456,0.9139419128539302,0.9244898858544998,,,,AUROC,0.9139419128539302,True
AMES,toxicity,classification,descriptors,random,mlp,5822,1456,0.8937499520289821,0.9054988767894907,,,,AUROC,0.8937499520289821,True
AMES,toxicity,classification,ecfp,scaffold,rf,5818,1456,0.8224615354803705,0.8604907528407872,,,,AUROC,0.8224615354803705,True
AMES,toxicity,classification,ecfp,scaffold,hgb,5818,1456,0.8390274386699221,0.8795883910691721,,,,AUROC,0.8390274386699221,True
AMES,toxicity,classification,ecfp,scaffold,mlp,5818,1456,0.7812928729217533,0.8202202947786896,,,,AUROC,0.7812928729217533,True
AMES,toxicity,classification,ecfp,random,rf,5822,1456,0.8618242802428485,0.8902482615817834,,,,AUROC,0.8618242802428485,True
AMES,toxicity,classification,ecfp,random,hgb,5822,1456,0.8958664333356359,0.9102832355972977,,,,AUROC,0.8958664333356359,True
AMES,toxicity,classification,ecfp,random,mlp,5822,1456,0.8506259258406441,0.872568323953659,,,,AUROC,0.8506259258406441,True
LD50,toxicity,regression,descriptors,scaffold,rf,5907,1478,,,0.5527515042178134,0.3087587898345068,0.5282264338596466,Spearman,0.5282264338596466,True
LD50,toxicity,regression,descriptors,scaffold,hgb,5907,1478,,,0.5580461135253137,0.3023600622130248,0.5288543590857216,Spearman,0.5288543590857216,True
LD50,toxicity,regression,descriptors,scaffold,mlp,5907,1478,,,15.500528326468151,-363208.5799759954,0.46150335216086735,Spearman,0.46150335216086735,True
LD50,toxicity,regression,descriptors,random,rf,5908,1477,,,0.4556044513028781,0.5974170408353784,0.7366228056583861,Spearman,0.7366228056583861,True
LD50,toxicity,regression,descriptors,random,hgb,5908,1477,,,0.423956934435005,0.640222370213612,0.7655161526557768,Spearman,0.7655161526557768,True
