endpoint,method,sufficiency
DILI,shap,0.708511635283362
DILI,lime,0.69710866502474
DILI,random,0.5507730083291676
hERG,shap,0.7625093609356806
hERG,lime,0.807004080088507
hERG,random,0.7671871833018558
AMES,shap,0.6432451773290431
AMES,lime,0.6247259778333418
AMES,random,0.5049156792917341
LD50,shap,2.757700399515808
LD50,lime,2.696943877064933
LD50,random,2.4789820338295976
Caco2,shap,-5.305670623820564
Caco2,lime,-5.312591285048384
Caco2,random,-5.269988980551452
BBB,shap,0.8478125236184817
BBB,lime,0.8574374554600294
BBB,random,0.8018650349617532
