endpoint,n_atoms,n_alert,attr_overlap_auc,rand_overlap_auc
DILI,69,2,0.9104477611940299,0.6940298507462686
DILI,11,3,0.9166666666666666,0.41666666666666663
DILI,36,12,0.5416666666666667,0.5555555555555556
DILI,30,7,0.5341614906832298,0.36645962732919257
DILI,16,2,0.3571428571428571,0.5357142857142857
DILI,21,4,0.6323529411764706,0.3235294117647059
DILI,20,18,0.05555555555555555,0.41666666666666663
DILI,20,11,0.7474747474747474,0.5757575757575757
DILI,20,11,0.2676767676767677,0.4545454545454546
DILI,26,10,0.3,0.36875
DILI,20,4,0.9375,0.59375
DILI,21,2,0.42105263157894735,0.3157894736842105
DILI,17,2,0.5333333333333333,0.26666666666666666
DILI,35,4,0.10080645161290325,0.467741935483871
DILI,35,3,0.8020833333333334,0.5625
DILI,25,5,0.56,0.51
DILI,26,3,0.6956521739130435,0.391304347826087
DILI,22,3,0.5614035087719298,0.368421052631579
DILI,23,14,0.6190476190476191,0.23015873015873017
DILI,40,4,0.2152777777777778,0.5833333333333334
DILI,12,2,0.525,0.9500000000000001
DILI,15,5,0.2,0.21999999999999997
DILI,36,5,0.48387096774193544,0.432258064516129
DILI,29,14,0.12857142857142856,0.6904761904761905
DILI,40,19,0.37218045112781956,0.6240601503759399
DILI,24,5,0.021052631578947392,0.37894736842105264
DILI,15,2,0.8846153846153846,0.5
DILI,18,2,0.640625,0.875
DILI,28,14,0.41836734693877553,0.5816326530612245
DILI,16,7,0.15873015873015875,0.5396825396825397
DILI,27,4,0.608695652173913,0.5869565217391304
DILI,23,2,0.09523809523809529,0.8333333333333334
DILI,22,2,0.10000000000000003,0.475
DILI,62,17,0.7718954248366013,0.4679738562091503
DILI,28,6,0.7803030303030303,0.6666666666666667
DILI,25,6,0.4649122807017544,0.4210526315789474
DILI,25,6,0.6140350877192983,0.368421052631579
DILI,28,7,0.6054421768707483,0.48299319727891155
DILI,26,5,0.5238095238095238,0.7142857142857143
DILI,36,9,0.45679012345679015,0.5473251028806585
DILI,16,13,0.8461538461538463,0.46153846153846156
DILI,21,2,0.736842105263158,0.5789473684210527
hERG,26,4,0.7954545454545455,0.6136363636363636
hERG,25,19,0.45614035087719296,0.48245614035087725
hERG,18,14,1.0,0.7321428571428572
hERG,26,9,0.09803921568627451,0.21568627450980393
hERG,48,3,0.6444444444444444,0.6296296296296295
hERG,13,9,0.6111111111111112,0.6944444444444444
hERG,26,9,0.718954248366013,0.4967320261437908
hERG,28,15,0.5641025641025641,0.482051282051282
hERG,27,9,0.6975308641975309,0.7222222222222222
hERG,32,4,0.3928571428571428,0.5892857142857143
hERG,32,4,0.5982142857142857,0.8035714285714286
hERG,33,4,0.5948275862068966,0.27586206896551724
hERG,32,4,0.40178571428571425,0.4285714285714286
hERG,21,4,0.926470588235294,0.3235294117647059
hERG,36,2,0.04411764705882354,0.7058823529411765
hERG,29,4,0.07,0.32999999999999996
hERG,29,10,0.4736842105263158,0.5210526315789474
hERG,30,4,0.7403846153846154,0.47115384615384615
hERG,19,7,0.14285714285714285,0.6785714285714286
hERG,27,12,0.4666666666666666,0.4555555555555555
hERG,27,6,0.45238095238095244,0.42063492063492064
hERG,27,4,0.8043478260869564,0.20652173913043476
hERG,25,3,0.3181818181818181,0.6363636363636364
hERG,25,4,0.36904761904761907,0.6309523809523809
hERG,26,11,0.4484848484848485,0.296969696969697
hERG,24,4,0.75,0.21250000000000002
hERG,31,10,0.6904761904761905,0.6285714285714286
hERG,25,7,0.746031746031746,0.47619047619047616
hERG,26,4,0.7272727272727272,0.375
hERG,13,5,0.6000000000000001,0.7
hERG,32,13,0.40485829959514175,0.4736842105263158
hERG,41,4,0.6824324324324325,0.6216216216216216
hERG,32,4,0.6071428571428572,0.4642857142857143
hERG,38,4,0.5294117647058822,0.44852941176470584
hERG,37,4,0.5303030303030303,0.6136363636363636
hERG,24,2,0.4318181818181818,0.4318181818181818
hERG,16,5,0.690909090909091,0.4
hERG,29,3,0.0,0.5897435897435898
AMES,19,17,0.23529411764705882,0.5588235294117647
AMES,18,17,0.9411764705882353,0.7647058823529411
AMES,20,14,0.2857142857142857,0.6071428571428571
AMES,19,17,0.9117647058823529,0.35294117647058826
AMES,18,17,0.9411764705882353,0.4117647058823529
AMES,19,17,0.7647058823529411,0.4117647058823529
AMES,17,15,0.26666666666666666,0.7333333333333334
AMES,24,23,0.21739130434782608,0.043478260869565216
AMES,16,15,0.9333333333333333,0.13333333333333333
AMES,18,17,0.9411764705882353,0.4117647058823529
AMES,28,21,0.7380952380952381,0.5306122448979592
AMES,20,18,0.3611111111111111,0.5833333333333334
AMES,20,17,0.36274509803921573,0.7647058823529412
AMES,19,17,0.7647058823529411,0.3235294117647059
AMES,32,14,0.0,0.5436507936507936
AMES,16,15,0.0,0.26666666666666666
AMES,16,15,0.06666666666666667,0.06666666666666667
AMES,17,15,0.2,0.16666666666666669
AMES,28,18,0.3388888888888889,0.47777777777777775
AMES,16,15,0.06666666666666667,0.26666666666666666
AMES,16,15,0.9666666666666667,0.0
AMES,18,14,0.25,0.6607142857142857
AMES,19,15,0.2,0.8833333333333333
AMES,17,15,0.16666666666666666,0.7666666666666666
AMES,19,18,0.2222222222222222,0.5555555555555556
AMES,20,17,0.3725490196078432,0.27450980392156865
AMES,19,17,0.29411764705882354,0.17647058823529413
AMES,17,15,0.1,0.3333333333333333
AMES,24,2,1.0,0.38636363636363635
AMES,15,4,0.05681818181818184,0.4772727272727273
AMES,22,8,0.4732142857142857,0.5178571428571429
AMES,22,8,0.4910714285714286,0.6160714285714286
AMES,21,10,0.8,0.5545454545454546
AMES,16,2,0.8571428571428571,0.5714285714285714
AMES,19,5,0.7428571428571428,0.4428571428571429
AMES,22,14,0.8705357142857143,0.3482142857142857
AMES,23,4,0.1447368421052632,0.5526315789473685
AMES,19,3,0.6875,0.43749999999999994
AMES,19,3,0.6875,0.41666666666666663
AMES,19,3,0.6875,0.5
AMES,12,3,0.6666666666666666,0.7037037037037037
AMES,17,5,0.9500000000000001,0.7333333333333334
AMES,16,5,0.9636363636363636,0.5454545454545454
AMES,20,14,0.8571428571428572,0.47619047619047616
AMES,20,14,0.6309523809523809,0.6309523809523809
AMES,20,14,0.880952380952381,0.6666666666666666
AMES,19,14,0.8285714285714285,0.18571428571428572
AMES,29,19,0.42105263157894735,0.4842105263157894
AMES,25,3,0.45454545454545453,0.5454545454545454
AMES,8,4,0.75,0.3125
AMES,13,5,0.4625,0.35
AMES,22,17,0.9529411764705882,0.4823529411764706
AMES,21,3,0.6666666666666666,0.7407407407407408
AMES,30,2,0.2142857142857143,0.5178571428571429
AMES,16,7,0.19047619047619052,0.5555555555555556
AMES,16,14,1.0,0.21428571428571427
AMES,16,15,0.9666666666666667,0.2
AMES,14,7,0.20408163265306126,0.5714285714285714
AMES,13,7,0.38095238095238093,0.3333333333333333
AMES,24,6,0.40740740740740744,0.28703703703703703
AMES,13,7,0.26190476190476186,0.5714285714285714
AMES,14,2,0.8333333333333334,0.375
AMES,18,3,0.6888888888888889,0.2222222222222222
AMES,20,10,0.5399999999999999,0.69
AMES,20,3,0.6078431372549019,0.23529411764705882
AMES,13,7,0.7380952380952381,0.7142857142857143
AMES,22,4,0.5138888888888888,0.5694444444444444
AMES,16,14,0.0,0.39285714285714285
AMES,20,4,0.796875,0.328125
AMES,17,9,0.6111111111111112,0.6805555555555556
AMES,17,10,0.5428571428571428,0.6428571428571428
AMES,40,30,0.5416666666666666,0.5633333333333334
AMES,15,7,0.7857142857142857,0.4821428571428571
AMES,15,7,0.7321428571428571,0.6607142857142857
AMES,18,2,0.15625,0.65625
AMES,16,14,0.8571428571428571,0.7142857142857143
AMES,15,3,0.6666666666666667,0.3055555555555555
AMES,24,5,0.6210526315789474,0.4842105263157895
AMES,22,14,0.2142857142857143,0.5714285714285714
AMES,20,17,0.35294117647058826,0.09803921568627452
AMES,21,4,0.6102941176470589,0.6176470588235294
AMES,16,10,0.7666666666666668,0.3833333333333333
AMES,38,30,0.5041666666666667,0.6625
AMES,21,3,0.6851851851851851,0.3518518518518518
AMES,20,2,0.9166666666666667,0.8888888888888888
AMES,18,4,0.6428571428571429,0.6964285714285714
AMES,16,14,0.0,0.5714285714285714
AMES,20,17,0.36274509803921573,0.2941176470588236
AMES,19,3,0.6666666666666666,0.7083333333333334
AMES,16,14,1.0,0.5357142857142857
AMES,18,2,0.1875,0.09375
AMES,15,3,0.6666666666666666,0.25
