endpoint,method,ref,faith
DILI,shap,mean,0.1769794820096543
DILI,shap,median,0.17542128852560776
DILI,shap,perm,0.1769833299452073
DILI,lime,mean,0.13772185295678482
DILI,lime,median,0.13491610343615784
DILI,lime,perm,0.15904046541982453
DILI,random,mean,0.020962449396400587
DILI,random,median,0.02120805845068585
DILI,random,perm,0.04188295939595195
hERG,shap,mean,0.003187493931018336
hERG,shap,median,-0.0017851032202424602
hERG,shap,perm,0.1318567521006298
hERG,lime,mean,0.03549976610680723
hERG,lime,median,0.02960692863095512
hERG,lime,perm,0.13956108923319915
hERG,random,mean,-0.0004099945243211527
hERG,random,median,-0.002124125123576297
hERG,random,perm,0.02522740429205377
AMES,shap,mean,0.19042975471726845
AMES,shap,median,0.20400979750878714
AMES,shap,perm,0.1842453137491142
AMES,lime,mean,0.1556047717382499
AMES,lime,median,0.158567233170683
AMES,lime,perm,0.14796020227703024
AMES,random,mean,0.034116309622572234
AMES,random,median,0.03350927944179748
AMES,random,perm,0.04917743175503466
LD50,shap,mean,0.7410505866831262
LD50,shap,median,1.0211632004180857
LD50,shap,perm,0.8313015455721471
LD50,lime,mean,0.6963985463177168
LD50,lime,median,0.7186295094755081
LD50,lime,perm,0.6457540801909203
LD50,random,mean,0.16712960269284763
LD50,random,median,0.1814532784234989
LD50,random,perm,0.18813965441111477
BBB,shap,mean,0.08794636613034659
BBB,shap,median,0.05397772642396306
BBB,shap,perm,0.10355722492996863
BBB,lime,mean,0.09163663327286464
BBB,lime,median,0.056754295380709155
BBB,lime,perm,0.10902979598461804
BBB,random,mean,0.018886868766587735
BBB,random,median,0.013704544384702857
BBB,random,perm,0.032789695764497584
Caco2,shap,mean,0.7636381750443518
Caco2,shap,median,0.75790984958935
Caco2,shap,perm,0.7477651507323826
Caco2,lime,mean,0.7051170574310682
Caco2,lime,median,0.6924070448946356
Caco2,lime,perm,0.7047378007759894
Caco2,random,mean,0.16808588570371424
Caco2,random,median,0.1586445699841148
Caco2,random,perm,0.17325129536940198
