endpoint,seed,split,faith_vs_null
DILI,0,scaffold,0.15601703261325373
DILI,0,random,0.17295824449760808
DILI,1,scaffold,0.15629877327998667
DILI,1,random,0.15988515794788832
DILI,2,scaffold,0.15114508807449273
DILI,2,random,0.1662446305444652
hERG,0,scaffold,0.0035974884553394465
hERG,0,random,0.09759359236893006
hERG,1,scaffold,0.0640181441051217
hERG,1,random,0.027287570870977263
hERG,2,scaffold,0.04147229544636878
hERG,2,random,0.06159463585168512
AMES,0,scaffold,0.15631344509469627
AMES,0,random,0.19582996757032642
AMES,1,scaffold,0.19246913584819617
AMES,1,random,0.19713138841978967
AMES,2,scaffold,0.16275190433500222
AMES,2,random,0.21885311228979515
LD50,0,scaffold,0.5739209839902784
LD50,0,random,0.552834903501664
LD50,1,scaffold,0.5518381489582828
LD50,1,random,0.5408113683820177
LD50,2,scaffold,0.5937036011217596
LD50,2,random,0.570748066613245
