endpoint,method,cheap_faith,roar_faith
DILI,shap,-0.011904761904761918,0.08552631578947356
DILI,lime,-0.026190476190476153,0.07499999999999996
DILI,random,1.1102230246251565e-16,0.055263157894737014
hERG,shap,-0.11428571428571421,0.06285714285714283
hERG,lime,-0.11190476190476184,0.05428571428571427
hERG,random,-0.05714285714285716,0.027619047619047654
AMES,shap,0.16190476190476188,0.07637457044673546
AMES,lime,0.1571428571428572,0.06872852233676974
AMES,random,0.02619047619047621,0.059106529209622005
LD50,shap,-0.16765857088851954,0.1604081218648329
LD50,lime,-0.190102154294918,0.1433139036245601
LD50,random,-0.11974209887874726,0.12635646338732565
BBB,shap,-0.05714285714285716,0.03723076923076929
BBB,lime,-0.05714285714285716,0.03599999999999992
BBB,random,-0.0357142857142857,0.031076923076923224
Caco2,shap,-0.20831070964342913,0.19972145734462288
Caco2,lime,-0.2009399552350887,0.18604376092537467
Caco2,random,-0.10590832496548555,0.14583640012971666
